student_id,first_name,email,enrollment_date,program,enrollment_status,gpa,credits_attempted,credits_completed,failed_courses,attendance_rate,lms_logins_last_30d,assignments_submitted,assignments_total,late_submissions,advisor_meetings,financial_aid,dropped_out
STU00001,Aria,student00001@university.edu,2024-03-14 22:05:01.602456,Business,part_time,3.43,95,86,1,91.3,29,18,21,2,5,False,False
STU00002,Jack,student00002@university.edu,2025-10-18 22:05:01.602475,Business,full_time,3.09,49,41,2,85.7,26,27,32,5,5,True,False
STU00003,Avery,student00003@university.edu,2024-03-21 22:05:01.602478,Engineering,full_time,1.87,35,22,5,54.8,2,13,27,6,1,False,True
STU00004,Amelia,student00004@university.edu,2024-07-20 22:05:01.602480,Computer Science,full_time,2.98,65,56,2,83.8,27,25,28,4,4,True,False
STU00005,Chloe,student00005@university.edu,2025-09-10 22:05:01.602482,Nursing,full_time,3.28,34,31,1,83.7,26,20,24,3,5,True,False
STU00006,Mason,student00006@university.edu,2024-03-17 22:05:01.602484,Nursing,full_time,3.49,53,48,1,93.8,33,28,34,3,5,True,False
STU00007,Abigail,student00007@university.edu,2025-08-19 22:05:01.602485,Business,full_time,1.67,78,48,5,57.3,9,12,23,7,1,False,True
STU00008,Aria,student00008@university.edu,2024-06-03 22:05:01.602488,Computer Science,full_time,3.14,44,37,2,79.7,25,18,23,2,4,True,False
STU00009,Evelyn,student00009@university.edu,2024-04-23 22:05:01.602490,Computer Science,full_time,3.83,32,28,0,92.3,30,28,32,1,5,True,False
STU00010,Emily,student00010@university.edu,2024-08-14 22:05:01.602492,Computer Science,part_time,3.68,70,63,1,94.8,34,21,23,2,5,True,False
STU00011,Mia,student00011@university.edu,2025-04-22 22:05:01.602494,Liberal Arts,full_time,3.23,87,76,1,88.9,30,22,25,0,5,False,False
STU00012,Mia,student00012@university.edu,2025-03-18 22:05:01.602496,Liberal Arts,full_time,3.38,80,71,1,88.4,24,25,30,3,4,True,False
STU00013,Daniel,student00013@university.edu,2025-06-09 22:05:01.602497,Business,part_time,3.31,68,58,0,83.2,32,20,23,1,4,True,False
STU00014,Lillian,student00014@university.edu,2024-09-24 22:05:01.602499,Computer Science,full_time,3.04,62,58,1,83.2,33,23,26,0,4,False,False
STU00015,Matthew,student00015@university.edu,2024-05-13 22:05:01.602501,Computer Science,full_time,3.59,34,31,1,90.1,35,24,26,1,4,True,False
STU00016,David,student00016@university.edu,2025-04-12 22:05:01.602503,Nursing,part_time,3.69,64,60,1,91.4,29,20,24,2,5,False,False
STU00017,Daniel,student00017@university.edu,2025-09-30 22:05:01.602504,Nursing,full_time,3.37,67,56,2,89.5,25,28,32,5,3,True,False
STU00018,Olivia,student00018@university.edu,2025-07-14 22:05:01.602506,Business,full_time,3.36,85,73,1,84.4,26,20,24,3,5,True,False
STU00019,Michael,student00019@university.edu,2024-02-28 22:05:01.602508,Computer Science,full_time,3.44,49,44,0,89.7,31,32,34,4,4,False,False
STU00020,Lillian,student00020@university.edu,2024-10-06 22:05:01.602510,Business,full_time,3.23,59,50,2,85.1,27,24,29,3,3,True,False
STU00021,Liam,student00021@university.edu,2025-09-20 22:05:01.602512,Nursing,full_time,3.28,27,24,1,86.7,27,23,27,6,4,False,False
STU00022,Daniel,student00022@university.edu,2024-01-18 22:05:01.602513,Nursing,full_time,3.28,49,45,1,87.3,28,22,26,2,5,True,False
STU00023,Carter,student00023@university.edu,2025-03-05 22:05:01.602515,Liberal Arts,full_time,3.2,45,40,2,81.2,20,24,33,4,3,True,False
STU00024,Jackson,student00024@university.edu,2025-05-09 22:05:01.602517,Business,full_time,2.23,75,51,4,71.4,17,16,26,5,2,True,True
STU00025,Samuel,student00025@university.edu,2025-10-07 22:05:01.602518,Business,full_time,3.34,65,49,2,88.5,23,20,25,3,4,True,False
STU00026,Liam,student00026@university.edu,2025-10-29 22:05:01.602520,Computer Science,full_time,2.11,47,31,4,65.4,13,15,26,6,1,True,False
STU00027,Abigail,student00027@university.edu,2025-09-12 22:05:01.602522,Computer Science,part_time,3.92,66,62,1,99.0,32,25,26,1,6,True,False
STU00028,Madison,student00028@university.edu,2024-09-18 22:05:01.602524,Liberal Arts,full_time,3.37,52,50,0,95.7,32,27,29,1,4,True,False
STU00029,James,student00029@university.edu,2025-05-25 22:05:01.602525,Engineering,part_time,1.88,51,33,5,65.1,10,18,33,8,1,False,True
STU00030,Michael,student00030@university.edu,2025-05-11 22:05:01.602527,Engineering,full_time,3.68,66,62,1,93.5,31,20,21,0,6,False,False
STU00031,Carter,student00031@university.edu,2024-08-28 22:05:01.602529,Engineering,full_time,3.3,31,30,1,91.9,31,31,33,1,4,True,False
STU00032,Elizabeth,student00032@university.edu,2024-10-09 22:05:01.602531,Business,full_time,3.03,45,39,1,88.1,31,25,29,2,5,True,False
STU00033,Riley,student00033@university.edu,2025-01-08 22:05:01.602532,Business,full_time,2.95,55,47,1,86.4,29,18,21,3,4,False,False
STU00034,Sofia,student00034@university.edu,2024-06-12 22:05:01.602534,Nursing,full_time,2.17,52,34,4,65.7,1,22,33,9,1,True,True
STU00035,Joseph,student00035@university.edu,2024-04-12 22:05:01.602536,Business,full_time,1.71,42,25,5,57.1,3,13,29,7,1,False,True
STU00036,Logan,student00036@university.edu,2025-03-01 22:05:01.602537,Business,full_time,2.87,94,79,3,84.0,20,19,26,4,4,True,False
STU00037,Lucas,student00037@university.edu,2025-04-05 22:05:01.602539,Business,full_time,2.58,59,44,3,75.8,22,23,33,6,3,False,False
STU00038,Amelia,student00038@university.edu,2024-12-23 22:05:01.602541,Liberal Arts,full_time,3.49,48,43,1,89.3,28,28,29,0,5,True,False
STU00039,Penelope,student00039@university.edu,2025-11-22 22:05:01.602542,Business,full_time,1.65,24,13,6,55.4,6,12,26,7,1,False,True
STU00040,Layla,student00040@university.edu,2024-07-11 22:05:01.602544,Computer Science,full_time,3.77,39,36,1,99.7,35,23,26,2,5,True,False
STU00041,Carter,student00041@university.edu,2025-09-06 22:05:01.602546,Computer Science,full_time,3.56,59,56,1,93.7,29,21,24,2,5,True,False
STU00042,Jack,student00042@university.edu,2025-06-18 22:05:01.602548,Nursing,full_time,3.0,63,52,2,87.1,24,16,20,4,3,False,True
STU00043,Olivia,student00043@university.edu,2025-05-06 22:05:01.602549,Liberal Arts,full_time,3.68,47,43,1,92.5,33,30,33,2,5,False,False
STU00044,Victoria,student00044@university.edu,2024-02-25 22:05:01.602551,Computer Science,full_time,1.92,46,31,5,57.9,13,11,21,5,1,False,True
STU00045,Layla,student00045@university.edu,2024-09-29 22:05:01.602553,Liberal Arts,part_time,3.22,75,68,1,88.7,28,29,32,3,5,True,False
STU00046,Sophia,student00046@university.edu,2024-04-16 22:05:01.602554,Liberal Arts,full_time,2.25,15,10,5,62.3,14,16,28,8,2,False,True
STU00047,Abigail,student00047@university.edu,2025-01-24 22:05:01.602556,Nursing,full_time,3.47,47,42,1,90.9,31,26,27,0,5,True,False
STU00048,Isabella,student00048@university.edu,2024-07-17 22:05:01.602558,Liberal Arts,full_time,3.53,90,83,1,90.7,27,24,27,1,3,False,False
STU00049,Aria,student00049@university.edu,2025-11-29 22:05:01.602560,Business,part_time,2.96,71,61,3,80.8,23,22,29,5,4,True,False
STU00050,Henry,student00050@university.edu,2025-01-13 22:05:01.602561,Liberal Arts,full_time,2.11,40,28,5,67.8,0,11,20,4,2,True,True
STU00051,Noah,student00051@university.edu,2025-04-01 22:05:01.602563,Nursing,part_time,3.13,30,25,1,84.7,30,21,25,0,5,True,False
STU00052,Elizabeth,student00052@university.edu,2024-08-05 22:05:01.602565,Nursing,full_time,3.68,54,48,1,88.0,36,30,34,1,5,True,False
STU00053,Benjamin,student00053@university.edu,2025-07-08 22:05:01.602566,Nursing,full_time,3.36,79,71,1,92.6,32,30,34,2,5,True,False
STU00054,John,student00054@university.edu,2024-08-27 22:05:01.602568,Computer Science,part_time,2.85,85,69,3,77.3,20,20,28,5,2,True,True
STU00055,Isabella,student00055@university.edu,2024-02-20 22:05:01.602570,Business,full_time,2.86,87,67,2,79.3,24,24,34,6,3,True,True
STU00056,Jacob,student00056@university.edu,2024-01-25 22:05:01.602571,Computer Science,full_time,2.14,58,37,4,68.6,11,15,27,8,2,False,False
STU00057,Lillian,student00057@university.edu,2024-02-09 22:05:01.602573,Engineering,part_time,3.6,60,53,1,90.2,30,20,22,1,5,False,False
STU00058,Liam,student00058@university.edu,2024-11-30 22:05:01.602575,Business,part_time,3.49,41,36,1,89.4,30,21,23,2,4,False,False
STU00059,Alexander,student00059@university.edu,2024-06-18 22:05:01.602577,Liberal Arts,full_time,3.61,67,61,0,92.4,33,33,34,0,6,True,False
STU00060,Logan,student00060@university.edu,2024-01-24 22:05:01.602578,Nursing,full_time,3.19,39,35,1,79.7,24,18,22,2,4,True,False
STU00061,Penelope,student00061@university.edu,2024-10-14 22:05:01.602580,Engineering,part_time,3.75,59,55,0,96.1,32,23,25,1,6,True,False
STU00062,Sophia,student00062@university.edu,2024-04-11 22:05:01.602582,Business,full_time,2.95,56,46,2,77.6,22,25,33,4,4,True,False
STU00063,Carter,student00063@university.edu,2025-03-22 22:05:01.602583,Computer Science,part_time,3.42,32,29,1,88.0,32,24,28,1,5,True,False
STU00064,Mason,student00064@university.edu,2024-05-17 22:05:01.602585,Nursing,full_time,2.45,59,42,4,65.8,12,22,34,9,3,False,False
STU00065,Penelope,student00065@university.edu,2024-10-24 22:05:01.602587,Computer Science,full_time,3.67,47,44,0,96.7,31,27,27,0,5,True,False
STU00066,Scarlett,student00066@university.edu,2025-06-30 22:05:01.602589,Business,part_time,3.51,99,88,1,82.9,26,27,34,4,5,True,False
STU00067,Benjamin,student00067@university.edu,2025-11-02 22:05:01.602590,Business,full_time,2.35,46,31,5,64.5,4,19,34,9,2,False,True
STU00068,Harper,student00068@university.edu,2024-06-07 22:05:01.602592,Engineering,full_time,3.37,79,69,2,88.2,28,28,32,7,4,True,False
STU00069,Matthew,student00069@university.edu,2025-03-05 22:05:01.602594,Liberal Arts,full_time,3.16,58,52,1,89.9,30,26,29,2,4,False,False
STU00070,John,student00070@university.edu,2024-11-13 22:05:01.602595,Computer Science,full_time,1.91,51,30,5,56.4,1,12,23,7,1,False,True
STU00071,David,student00071@university.edu,2025-12-03 22:05:01.602597,Engineering,full_time,3.57,24,23,0,94.8,33,33,34,0,5,True,False
STU00072,Noah,student00072@university.edu,2024-04-17 22:05:01.602599,Nursing,part_time,3.15,22,19,1,87.7,29,17,21,2,5,True,False
